4	1001
5	1002
6	1001
7	1011
8	1000
9	2000
10	2015
11	2004
12	2996
13	3550
14	4005
15	3995
16	3999
17	4000
18	5004
19	5996
20	5000
21	6000
22	6004
23	6998
24	8020
25	8983
26	8012
27	10000
28	9520
29	9999
30	11999
31	11000
32	13000
33	14039
34	14038
35	15516
36	15001
37	17018
38	17000
39	18000
40	19009
41	19518
42	19999
43	21000
44	22000
45	22528
46	23995
47	25005
48	26010
49	27529
50	28001
51	30000
52	31524
53	30982
54	33004
55	33398
56	35002
57	36007
58	36515
59	37993
60	43520
61	40999
62	42006
63	44008
64	45004
65	46141
66	48007
67	48547
68	50320
69	51459
70	52521
71	55004
72	55518
73	57001
74	59534
75	60593
76	61000
77	62522
78	64007
79	66022
80	67535
81	69695
82	70008
83	72502
84	73498
85	75399
86	77004
87	79031
88	81233
89	82349
90	83526
91	85537
92	87532
93	90543
94	91512
95	93512
96	98519
97	99534
98	99531
99	102534
100	105097
